Timestamp,CPU_Percentage,Memory_PSS_MB
18:52:26,246,254.39
18:52:27,213,257.97
18:52:29,250,269.47
18:52:31,243,265.32
18:52:33,260,262.76
18:52:34,186,256.84
18:52:36,240,264.43
18:52:38,240,265.17
18:52:39,196,258.8
18:52:41,250,255.43
18:52:43,163,248.22
18:52:44,180,256.56
18:52:46,200,255.82
18:52:48,210,249.7
18:52:50,163,264.19
18:52:51,176,251.14
18:52:53,213,260.09
18:52:55,250,260.15
18:52:57,0.0,253.01
18:52:58,0.0,227.68
18:53:00,0.0,227.65
18:53:01,0.0,227.55
18:53:03,0.0,227.55
18:53:05,0.0,227.55
18:53:06,0.0,227.4
18:53:08,3.4,227.4
18:53:09,0.0,227.4
18:53:11,0.0,227.41
18:53:13,0.0,227.4
18:53:14,0.0,227.4
18:53:16,0.0,227.4
18:53:18,0.0,227.41
18:53:19,0.0,227.41
18:53:21,0.0,227.4
18:53:22,3.4,227.41
18:53:24,0.0,227.4
18:53:26,215,278.52
18:53:27,146,256.88
18:53:29,136,253.69
18:53:31,153,261.73
18:53:32,173,266.94
18:53:34,143,269.74
18:53:36,90.0,265.68
18:53:38,109,285.24
18:53:39,90.6,294.53
18:53:41,106,252.28
18:53:43,73.3,261.62
18:53:44,135,265.74
18:53:46,168,255.82
18:53:48,140,241.17
18:53:50,75.8,233.61
18:53:51,13.3,231.16
18:53:53,162,237.87
18:53:55,3.2,268.91
18:53:56,29.0,244.22
18:53:58,221,278.44
18:54:00,176,272.5
18:54:01,241,260.24
18:54:03,0.0,213.56
18:54:05,3.4,195.96
18:54:07,0.0,195.41
